"Application","type","text"
"plumber","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"plumber","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"plumber","warning","Animated: `useNativeDriver` is not supported because the native animated module is missing. Falling back to JS-based animation. To resolve this, add `RCTAnimation` module to this app, or remove `useNativeDriver`. Make sure to run `bundle exec pod install` first. Read more about autolinking: https://github.com/react-native-community/cli/blob/master/docs/autolinking.md"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"store","warning","Animated: `useNativeDriver` is not supported because the native animated module is missing. Falling back to JS-based animation. To resolve this, add `RCTAnimation` module to this app, or remove `useNativeDriver`. Make sure to run `bundle exec pod install` first. Read more about autolinking: https://github.com/react-native-community/cli/blob/master/docs/autolinking.md"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"store","error","Failed to load resource: net::ERR_CONNECTION_RESET"
"store","warning","Disconnected from Metro (1006)
To reconnect:
- Ensure that Metro is running and available on the same network
- Reload this app (will trigger further help if Metro cannot be connected to)"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"store","warning","Animated: `useNativeDriver` is not supported because the native animated module is missing. Falling back to JS-based animation. To resolve this, add `RCTAnimation` module to this app, or remove `useNativeDriver`. Make sure to run `bundle exec pod install` first. Read more about autolinking: https://github.com/react-native-community/cli/blob/master/docs/autolinking.md"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"store","warning","""shadow*"" style props are deprecated. Use ""boxShadow""."
"store","warning","props.pointerEvents is deprecated. Use style.pointerEvents"
"admin","error","Failed to load resource: net::ERR_CONNECTION_RESET"
"admin","error","Failed to load resource: net::ERR_CONNECTION_RESET"
